sentences,labels,sentences_zh
In silico stress fibre content affects peak strain in cytoplasm and nucleus but not in membrane for uniaxial substrate stretch,biophysics,在计算机应力中，纤维含量会影响细胞质和核中的峰值应变，但在膜中不影响单轴底物拉伸的膜
Astrovirus in Reunion Free-tailed Bat (Mormopterus francoismoutoui),ecology,团圆自由尾蝙蝠（Mormopterus francoismoutoui）
Mesoamerica is a cradle and the Atlantic Forest is a museum of Neotropical butterfly diversity: Insights from the evolution and biogeography of Brassolini (Lepidoptera: Nymphalidae),evolutionary biology,中美洲是一个摇篮，大西洋森林是新热带蝴蝶多样性的博物馆：Brassolini的进化和生物地理学的见解（鳞翅目：Nymphalidae）
"Size matters, so does condition: the use of a body condition index reveals the costs and benefits of structural body size in an insect.",ecology,大小很重要，条件也很重要：使用身体状况指数揭示了昆虫结构性体型的成本和收益。
Spatio-temporal control of DNA replication by the pneumococcal cell cycle regulator CcrZ,microbiology,通过肺炎球菌细胞周期调节剂CCRZ对DNA复制的时空控制
A unique mode of nucleic acid immunity performed by a single multifunctional enzyme,microbiology,单个多功能酶执行的核酸免疫的独特模式
Voluntary motor commands are preferentially released during restricted sensorimotor beta rhythm phases,neuroscience,自愿运动命令在受限的感觉运动β节奏阶段优先发布
Neuronal population dynamics during motor plan cancellation in non-human primates,neuroscience,非人类灵长类动物的运动计划中的神经元种群动态
Robust effects of corticothalamic feedback during naturalistic visual stimulation,neuroscience,自然主义视觉刺激期间皮质丘脑反馈的强大影响
Influencing factors of telephone-cardiopulmonary resuscitation in China: a qualitative exploration based on managerial perspectives,systems biology,中国电话肺复苏的影响因素：基于管理观点的定性探索
Nuclear bundle/cable containing actin during yeast meiosis,cell biology,酵母减数分裂过程中含有肌动蛋白的核束/电缆
Environmentally sensitive hotspots in the methylome of the early human embryo,genomics,早期人类胚胎的甲基团中对环境敏感的热点
Overcoming coarse coding in visual cortex via multiplexing: neural correlations differ dramatically when stimulus bundles are presented,neuroscience,通过多路复用克服视觉皮层中的粗制编码：当刺激束时，神经相关性差异很大
Hackflex: low cost Illumina Nextera Flex sequencing library construction,genomics,hackflex：低成本Illumina Nextera flex测序库构建
Mechanism of Interaction of BMP and Insulin Signaling in C. elegans Development and Homeostasis,cell biology,秀丽隐杆线虫发育和稳态中BMP和胰岛素信号传导相互作用的机制
The lipid kinase PI3Kα is required for the cohesion and survival of cancer cells disseminated in serous cavities.,cancer biology,脂质激酶PI3Kα是在浆液腔中分布的癌细胞的内聚力和存活所必需的。
HYPK scaffolds the Nedd8 and LC3 proteins to initiate formation of autophagosome around polyneddylated huntingtin exon1 aggregates,cell biology,Hypk脚手架NEDD8和LC3蛋白启动围绕多奈德式亨廷顿exon1聚集体的自噬体形成
"KIAA0319 influences cilia length, cell migration and mechanical cell-substrate interaction",cell biology,KIAA0319影响纤毛长度，细胞迁移和机械细胞基底相互作用
Hue tuning curves in V4 change with visual context,neuroscience,V4中的色相调谐曲线随着视觉​​上下文的方式变化
A conserved expression signature predicts growth rate and reveals cell & lineage-specific differences,systems biology,保守的表达签名预测生长速率并揭示细胞和谱系特异性差异
Genetic and epigenetic characteristics associated with. the rapid radiation of Aquilegia species,plant biology,遗传和表观遗传学特征。水2000种的快速辐射
Gelsolin and dCryAB act downstream of muscle identity genes and contribute to preventing muscle splitting and branching in Drosophila,developmental biology,凝胶素和dcryab在肌肉身份基因的下游作用，并有助于防止果蝇中的肌肉分裂和分支
Pan-genome analysis identifies intersecting roles for Pseudomonas specialized metabolites in potato pathogen inhibition,microbiology,泛基因组分析确定了在马铃薯病原体抑制中的假单胞菌专用代谢产物的相交作用
"SPF45/RBM17-dependent, but not U2AF-dependent, splicing in a distinct subset of human short introns",molecular biology,SPF45/RBM17依赖性，但不依赖于U2AF，在人类短篇内含子的独特子集中剪接
X chromosome inactivation in the human placenta is patchy and distinct from adult tissues,genomics,X人胎盘中的X染色体灭活是斑驳的，与成人组织不同
Quantitative characterization of the path of glucose diffusion facilitated by human glucose transporter 1,biophysics,人葡萄糖转运蛋白促进的葡萄糖扩散路径的定量表征1
Predictive Representations in Hippocampal and Prefrontal Hierarchies,neuroscience,海马和前额叶等级的预测性表示
Oxidation shuts down an auto-inhibitory mechanism of von Willebrand factor,biophysics,氧化关闭了von Willebrand因子的自动抑制机制
Evolution and development of male-specific leg brushes in Drosophilidae,evolutionary biology,果蝇科中男性特异性腿刷的进化和发展
Motor training improves coordination and anxiety in symptomatic Mecp2-null mice despite impaired functional connectivity within the motor circuit,neuroscience,尽管电动机电路内功能连接性障碍，但运动训练仍改善了有症状的MECP2无效小鼠的协调和焦虑
Connectome Constrained Graphical Models of MEG Coherence,neuroscience,连接组约束MEG连贯的图形模型
Sex-specific phenotypic effects and evolutionary history of an ancient polymorphic deletion of the human growth hormone receptor,evolutionary biology,人类生长激素受体的古代多态性缺失的性别表型效应和进化史
Impact of early childhood malnutrition on the adult brain function: an ERP study,neuroscience,幼儿营养不良对成人脑功能的影响：ERP研究
Cortico-striatal activity driving compulsive reward seeking,neuroscience,Cortico-Sriatal活动推动强迫奖励寻求
Pulmonary acini exhibit complex changes during postnatal rat lung development,physiology,肺acini在产后大鼠肺发育过程中表现出复杂的变化
Visualization and Analysis of Whole Depot Adipose Tissue Neural Innervation,neuroscience,整个仓库脂肪组织神经神经支配的可视化和分析
Spatially-explicit modeling improves empirical characterization of dispersal,ecology,在空间上进行建模改善了分散的经验表征
longfin causes cis-ectopic expression of the kcnh2a ether-a-go-go K+ channel to autonomously prolong fin outgrowth,developmental biology,longfin导致kcnh2a ether-a-go-go-go k+通道的顺式分类表达，以自主延长鳍片的生长
Ancestral mitochondrial apparatus derived from the bacterial type II secretion system,evolutionary biology,源自细菌II型分泌系统的祖先线粒体设备
Cold exposure drives weight gain and adiposity following chronic suppression of brown adipose tissue,physiology,慢性抑制棕色脂肪组织后，冷暴露会促进体重增加和肥胖
A parametrized computational framework for description and design of genetic circuits of morphogenesis based on contact-dependent signaling and changes in cell-cell adhesion,synthetic biology,基于接触依赖性信号和细胞细胞粘附的变化，用于描述形态发生遗传回路的参数化计算框架
Noncoding RNAs endogenously rule the cancerous regulatory realm while proteins govern the normal,genomics,非编码RNA内源性地统治癌性调节领域，而蛋白质则控制正常
Functional single-cell genomics of human cytomegalovirus infection,systems biology,人类巨细胞病毒感染的功能性单细胞基因组学
Polygenic adaptation after a sudden change in environment,evolutionary biology,环境突然变化后多基因适应
Minimal DNA Electron Transfer Catalysts Switched by a Chaotropic Ion,synthetic biology,最小DNA电子转移催化剂由Chaotropic离子切换
Range expansion shifts clonal interference patterns in evolving populations,evolutionary biology,范围扩展转移不断发展的种群中的克隆干扰模式
Lytic infection with murine gammaherpesvirus 68 activates host and viral RNA polymerase III-dependent promoters to enhance non-coding RNA expression,microbiology,用鼠γγ病毒68激活宿主和病​​毒RNA聚合酶III依赖性启动子的裂解感染，以增强非编码RNA表达
Representation of Task Structure in Human Hippocampus and Orbitofrontal Cortex,neuroscience,在人海马和眶额皮质中的任务结构的表示
Replacement of microglia by brain-engrafted macrophages provide protection against concussive injury,neuroscience,用大脑嫁接的巨噬细胞替换小胶质细胞可防止脑震荡
"Context-invariant neural dynamics underlying the encoding of Bayesian uncertainty, but not confidence",neuroscience,上下文不变的神经动力学是贝叶斯不确定性编码的基础，但没有信心
Platinum chemotherapy induces lymphangiogenesis in cancerous and healthy tissues that can be prevented with adjuvant anti-VEGFR3 therapy,cancer biology,铂化学疗法诱导癌和健康组织中的淋巴管生成，可以通过辅助抗VEGFR3治疗预防
Amitosis confers benefits of sex in the absence of sex to Tetrahymena,evolutionary biology,在没有性的情况下，赋予性别的好处
Parallel and Population-specific Gene Regulatory Evolution in Cold-Adapted Fly Populations,evolutionary biology,冷适应蝇种群中的平行和人群特异性基因调节演化
Reduction of insulin/IGF-1 receptor rejuvenates immunity via positive feedback circuit,genetics,胰岛素/IGF-1受体的降低通过正反馈电路恢复免疫力
Structural and Dynamic Insights Into α-Synuclein Dimer Conformations,biophysics,对α-突触核蛋白二聚体构象的结构和动态见解
A proximity-dependent biotinylation map of a human cell: an interactive web resource,molecular biology,人类细胞的接近依赖性生物素化图：交互式网络资源
CDR3 binding chemistry controls TCR V-domain rotational probability and germline CDR2 'scanning' of polymorphic MHC,immunology,CDR3结合化学控制TCR V域旋转概率和种系CDR2扫描'多态MHC
Estrogen Drives Melanocortin Neurons To Increase Spontaneous Activity and Reduce Sedentary Behavior,neuroscience,雌激素驱动黑素皮质素神经元增加自发活性并减少久坐行为
An experimentally-derived measure of inter-replicate variation in reference samples: the same-same permutation methodology,biochemistry,参考样品中复制变化的实验衍生的量度：同样置换方法
Sugars dominate the seagrass rhizosphere,microbiology,糖主导着海草根际
Multiphoton imaging of neural structure and activity in Drosophila through the intact cuticle,neuroscience,通过完整的角质层的神经结构和活性的多光子成像
A multilayer network model of neuron-astrocyte populations in vitro reveals mGluR5 inhibition is protective following traumatic injury,neuroscience,在体外神经元 - 胃细胞种群的多层网络模型揭示了MGLUR5抑制作用是在创伤性损伤后保护性的
Visual discrimination of optical material properties: a large-scale study,neuroscience,光学材料特性的视觉歧视：一项大规模研究
High and stable ATP levels prevent aberrant intracellular protein aggregation,cell biology,高和稳定的ATP水平预防异常细胞内蛋白质聚集
"High resolution, dynamic imaging of early mouse and human liver bud morphogenesis in three dimensions",developmental biology,高分辨率，早期小鼠和人肝芽形态发生的动态成像在三个方面
Eliminating accidental deviations to minimize generalization error and maximize replicability: applications in connectomics and genomics,neuroscience,消除意外偏差以最大程度地减少概括误差并最大化可复制性：连接和基因组学中的应用
Sequential and efficient neural-population coding of complex task information,neuroscience,复杂任务信息的顺序有效的神经填充编码
Effect of number and placement of EEG electrodes onmeasurement of neural tracking of speech,neuroscience,脑电图电极数量和放置对言语神经跟踪测量的影响
Cell cycle-dependent active stress drives epithelia remodeling,biophysics,依赖细胞周期的活动应力驱动上皮重塑
Telemetry reveals rapid duel-driven song plasticity in a naturalistic social environment,animal behavior and cognition,遥测揭示了自然主义社会环境中以决斗驱动的歌曲可塑性
Mutational signatures of replication timing and epigenetic modification persist through the global divergence of mutation spectra across the great ape phylogeny,genomics,复制时间和表观遗传修饰的突变特征通过突变光谱的全球差异持续存在
Reconstructing the history of variation in effective population size along phylogenies.,evolutionary biology,重建沿系统发育的有效人群大小的变化史。
Dynamic interactions and intracellular fate of label-free GO within mammalian cells: role of lateral sheet size,cell biology,哺乳动物细胞内无标签的动态相互作用和无标签的细胞内命运：侧张尺寸的作用
Efficient and robust coding in heterogeneous recurrent networks,neuroscience,在异构经常性网络中有效且稳健的编码
A Neural Circuit Model of Proprioceptive Feedback from Muscles Recruited during an Isometric Knee Extension,neuroscience,等距膝关节伸展期间招募的肌肉的本体感受反馈的神经回路模型
Proximity proteomics in a marine diatom reveals a putative cell surface-to-chloroplast iron trafficking pathway,cell biology,海洋硅硅硅硅质组中的接近蛋白质组学揭示了推定的细胞表面至绿色的铁路运输途径
Parallel Factor Analysis for multidimensional decomposition of fNIRS data,neuroscience,FNIRS数据多维分解的并行因子分析
Lymphoid follicle formation and human vaccination responses recapitulated in an organ-on-a-chip,immunology,淋巴卵泡形成和人类疫苗接种反应在A-A-Chip中概括
The Role of State Uncertainty in the Dynamics of Dopamine,neuroscience,国家不确定性在多巴胺动力学中的作用
DeepImageJ: A user-friendly environment to run deep learning models in ImageJ,bioengineering,DeepImageJ：一个用户友好的环境，可以在ImageJ中运行深度学习模型
"Reference transcriptome data in silkworm, Bombyx mori",genomics,蚕的参考转录组数据，bombyx mori
A functional corona around extracellular vesicles enhancesangiogenesis during skin regeneration and signals in immune cells,cell biology,细胞外囊泡周围的功能性电晕增强了皮肤再生过程中的血管生成和免疫细胞中的信号
Integrating multi-omics data through deep learning for accurate cancer prognosis prediction,bioinformatics,通过深度学习进行精确的癌症预测预测来整合多摩智数据
Understanding patterns of HIV multi-drug resistance through models of temporal and spatial drug heterogeneity,evolutionary biology,通过时间和空间药物异质性了解HIV多药的抗性模式
Evolutionary impact of size-selective harvesting on shoaling behavior: Individual-level mechanisms and possible consequences for natural and fishing mortality,ecology,尺寸选择性收获对浅滩行为的进化影响：个人水平机制以及对自然和捕鱼死亡率的可能后果
Fine human genetic map based on UK10K data set,evolutionary biology,基于UK10K数据集的精细人遗传图
Gene Ontology Meta Annotator for Plants (GOMAP),bioinformatics,植物的基因本体学元注释（GOMAP）
AMR - An R Package for Working with Antimicrobial Resistance Data,microbiology,AMR-用于使用抗菌耐药性数据的R包装
Caveat in Fisher's theorem reveals fitness can change without mutations,evolutionary biology,费舍尔定理中的警告表明健身可以改变而无需突变
Effective mechanical potential of cell-cell interaction explains basic structural units of three-dimensional morphogenesis,biophysics,细胞细胞相互作用的有效机械潜力解释了三维形态发生的基本结构单位
Network dynamics underlying OFF responses in the auditory cortex,neuroscience,在听觉皮层中响应的基础网络动力学
Low-dimensional learned feature spaces quantify individual and group differences in vocal repertoires,animal behavior and cognition,低维学习的特征空间量化了人声曲目中的个体和群体差异
Population coding of strategic variables during foraging in freely-moving macaques,neuroscience,在自由移动猕猴觅食期间的战略变量的人口编码
Fully-automated and ultra-fast cell-type identification using specific marker combinations from single-cell transcriptomic data,systems biology,使用单细胞转录组数据的特定标记组合，完全自动化和超快速的细胞类型识别
Hybridization disrupts growth-defense strategies and reveals trade-offs masked in unadmixed populations of a perennial plant,evolutionary biology,杂交破坏了增长防御策略，并揭示了在多年生植物的无混合种群中掩盖的权衡
Information Enhanced Model Selection for Gaussian Graphical Model with Application to Metabolomic Data,bioinformatics,高斯图形模型的信息增强模型选择，并应用于代谢组数据
Whole genome sequencing and the application of a SNP panel reveal primary evolutionary lineages and genomic diversity in the lion (Panthera leo),evolutionary biology,整个基因组测序和SNP面板的应用揭示了狮子的主要进化谱系和基因组多样性（Panthera Leo）
Learning Your Heart Actions From Pulse: ECG Waveform Reconstruction From PPG,bioinformatics,从脉冲中学习心脏动作：ECG波形从PPG中重建
Interictal Signatures of Human Periventricular Nodular Heterotopia,pathology,人脑室肿瘤结节性异位症的间隔
A CTP-dependent gating mechanism enables ParB spreading on DNA in Caulobacter crescentus,microbiology,依赖CTP的门控机制使PARB在Caulobacter Crescentus中扩散
"A Francisella tularensis L,D-carboxypeptidase plays important roles in cell morphology, envelope integrity, and virulence.",microbiology,Francisella tularensis L，D-羧肽酶在细胞形态，包膜完整性和毒力中起着重要作用。
Learning to learn persistently modifies an entorhinal-hippocampal excitatory-inhibitory subcircuit,neuroscience,学习学习持续修改内嗅 - 海马兴奋性抑制性子电路
Male genital lobe morphology affects the chance to copulate in Drosophila pachea,evolutionary biology,男性生殖器叶形态会影响果蝇pachea中的交配的机会
A memory-based theory of emotional disorders,neuroscience,基于记忆的情绪障碍理论
A conserved enzyme found in diverse human gut bacteria interferes with anticancer drug efficacy,microbiology,在各种人肠道细菌中发现的保守酶会干扰抗癌药物功效
Targeted gene correction and functional recovery in achondroplasia patient-derived iPSCs,developmental biology,靶向基因校正和疼痛性患者衍生的IPSC中的功能恢复
PLETHORA-WOX5 interaction and subnuclear localisation control Arabidopsis root stem cell maintenance,plant biology,过多的Wox5相互作用和亚核定位控制拟南芥根干细胞维持
High-Throughput Translational Profiling with riboPLATE-seq,systems biology,带有Riboplate-seq的高通量翻译分析
Incorporating Gene Expression in Genome-wide Prediction of Chromatin Accessibility via Deep Learning,bioinformatics,通过深度学习将基因表达纳入染色质访问性的全基因组预测
Identification of neural oscillations and epileptiform changes in human brain organoids,neuroscience,鉴定人脑机形的神经振荡和癫痫样变化
Coordination through inhibition: control of stabilizing and updating circuits in spatial orientation working memory,neuroscience,通过抑制进行协调：控制空间方向的稳定和更新电路的工作记忆
The NTD of Eukaryotic Initiation Factor 4B Drives Yeast Translational Control in Response to Urea,molecular biology,真核引发因子4B的NTD驱动酵母转化控制，以响应尿素
Ten-eleven translocation 1 Mediated-DNA Hydroxymethylation is Required for Myelination and Remyelination in the Mouse Brain,neuroscience,十个易位1介导的DNA羟甲基是小鼠脑中需要的髓鞘形成和髓鞘形成的
Roles of adenine methylation and genetic mutations in adaptation to different temperatures in Serratia marcescens,evolutionary biology,腺嘌呤甲基化和遗传突变在适应不同温度的serratia marcescens中的作用
Broadband Signal Rather than Frequency-Specific Rhythms Underlie Prediction Error in the Primate Auditory Cortex,neuroscience,宽带信号而不是频率特定的节奏是灵长类动物听觉皮层中预测错误的基础
Cerebellar lesions disrupt spatial and temporal visual attention.,neuroscience,小脑病变破坏了空间和时间视觉关注。
Host-microbiome protein-protein interactions capture mechanisms in human disease,microbiology,宿主 - 微生物组蛋白 - 蛋白质相互作用捕获人类疾病的机制
"Species richness increases fitness differences, but does not affect niche differences",ecology,物种丰富度增加了健身差异，但不会影响利基差异
Non-selective response inhibition in Go/NoGo task: Bayesian analysis of fMRI data,neuroscience,go/nogo任务中的非选择性响应抑制：bayesian fMRI数据分析
Activation of G-protein coupled estradiol receptor 1 in the dorsolateral striatum attenuates preference for cocaine and saccharin in male but not female rats,neuroscience,在背外侧纹状体中的G蛋白偶联雌二醇受体1的激活减弱了雄性但雌性大鼠的可卡因和糖精的偏好
NHR-8 regulated P-glycoproteins uncouple xenobiotic stress resistance from longevity in chemosensory C. elegans mutants,genetics,NHR-8调节的P-糖蛋白不偶然的异种应激性抗化学感应C.秀丽隐杆线虫突变体中的寿命
Distinct roles for dopamine clearance mechanisms in regulating behavioral flexibility,neuroscience,多巴胺清除机制在调节行为灵活性中的不同作用
Using the Tea Bag Index to determine how two human pharmaceuticals affect litter decomposition by aquatic microorganisms.,microbiology,使用茶袋指数来确定两种人类药物如何影响水生微生物分解垃圾。
CloneSig: Joint inference of intra-tumor heterogeneity and mutational signatures' activity in tumor bulk sequencing data,bioinformatics,Clonesig：肿瘤内异质性和突变特征在肿瘤散装数据中的活性的关节推断
A rationally designed oral vaccine induces Immunoglobulin A in the murine gut that directs the evolution of attenuated Salmonella variants,immunology,理性设计的口服疫苗在鼠肠中诱导免疫球蛋白A，该疫苗指导衰减的沙门氏菌变体的演变
Regulation of apical constriction via microtubule- and Rab11-dependent apical transport during tissue invagination,developmental biology,通过微管和RAB11依赖的顶端转运调节顶端狭窄
Ebselen attenuates mycobacterial virulence through inhibition of ESX-1 secretion,microbiology,ebselen通过抑制ESX-1分泌减轻了分枝杆菌的毒力
Low-disturbance Farming Regenerates Healthy Deep Soil towards Sustainable Agriculture,ecology,低扰动耕作可再生健康的深层土壤对可持续农业
Population structure of chum salmon and selection on the markers collected for stock identification,evolutionary biology,Chum鲑鱼的种群结构和在收集的库存识别标记的选择
Stability of neocortical synapses across sleep and wake,neuroscience,跨睡眠和唤醒的新皮质突触的稳定性
Prefrontal deep projection neurons enable cognitive flexibility via persistent feedback monitoring,neuroscience,前额叶深度投影神经元通过持续反馈监视实现认知灵活性
Dietary fat promotes antibiotic-induced Clostridioides difficile mortality in mice,microbiology,饮食脂肪促进小鼠抗生素诱导的梭状芽胞杆菌艰难梭菌死亡率
Automaticity in the reading circuitry,neuroscience,阅读电路中的自动化
"Towards Practical and Robust DNA-based Data Archiving Using ""Yin-Yang Codec"" System",synthetic biology,使用“ Yin-Yang编解码器”系统进行实用且强大的基于DNA的数据归档
Mutations in Auxilin cause parkinsonism via impaired clathrin-mediated trafficking at the Golgi apparatus and synapse,neuroscience,辅助蛋白的突变导致帕金森氏症通过在高尔基体和突触的旋转蛋白介导的贩运受损而引起帕金森氏症
Genomic Background Governs Opposing Responses to Nalidixic Acid Upon Megaplasmid Acquisition in Pseudomonas,microbiology,基因组背景控制对假单胞菌中大质质剂时对纳利迪酸的反应
Attenuated directed exploration during reinforcement learning in gambling disorder,neuroscience,在赌博障碍的加固学习过程中减弱的定向探索
LiGIoNs: A Computational Method for the Detection and Classification of Ligand-Gated Ion Channels,bioinformatics,ligions：一种用于检测和分类配体门控离子通道的计算方法
Blinking Statistics and Molecular Counting in direct Stochastic Reconstruction Microscopy (dSTORM),biophysics,直接随机重建显微镜（DSTORM）中的眨眼统计和分子计数
Linear B-cell epitope prediction for in silico vaccine design: a performance review of methods available via command-line interface,bioinformatics,硅疫苗设计中的线性B细胞表位预测：通过命令行界面可用的方法审查
Matrix Inversion and Subset Selection (MISS): A novel pipeline for quantitative mapping of diverse cell types across the murine brain,neuroscience,矩阵反转和子集选择（错过）：一种新型的管道，用于跨鼠大脑的各种细胞类型的定量映射
Estradiol-induced progesterone synthesis develops post-puberty in the rostral hypothalamus and coincides with post-pubertal changes in the steroidogenic pathway in female mouse hypothalamic astrocytes,neuroscience,雌二醇诱导的孕激素合成在下丘脑的pu骨后发展，并与雌性小鼠下丘脑星形胶质细胞的类固醇生成途径的聚伯碱变化相吻合
Unravelling the genetic architecture of musical rhythm: a large-scale genome-wide association study of beat synchronization,genetics,揭开音乐节奏的遗传结构：一个大规模基因组协会的节拍同步研究
Integrative nascent RNA methods to reveal cell-type specific transcription programs in peripheral blood and its derivative cells,molecular biology,揭示外周血及其衍生细胞中细胞类型特定转录程序的整合性新生RNA方法
Temperature predicts the maximum tree-species richness and water and frost shape the residual variation,ecology,温度预测最大树种的丰富度和水和霜冻形状残余变化
Trading Mental Effort for Confidence in the Metacognitive Control of Value-Based Decision-Making,neuroscience,贸易心理努力以对基于价值决策的元认知控制信心
A multi-measure approach for assessing the performance of fMRI preprocessing strategies in resting-state functional connectivity,neuroscience,一种多余的方法，用于评估fMRI静止状态功能连接性中fMRI预处理策略的性能
Personalized single-cell networks: a framework to predict the response of any gene to any drug for any patient,systems biology,个性化的单细胞网络：预测任何患者对任何药物的反应的框架
PharmOmics: A Species- and Tissue-specific Drug Signature Database and Online Tool for Drug Repurposing,systems biology,药物：一种物种和组织特异性的药物签名数据库和用于药物重新利用的在线工具
A small-molecule antagonist for the Tudor domain of SMN disrupts the interaction between SMN and RNAP II,biochemistry,SMN的都铎王子结构域的小分子拮抗剂破坏了SMN和RNAP II之间的相互作用
Interrogating theoretical models of neural computation with emergent property inference,neuroscience,用新兴特性推断询问神经计算的理论模型
Metabolic signatures of regulation by phosphorylation and acetylation,systems biology,通过磷酸化和乙酰化调节的代谢特征
ERBB2 is a Key Mediator in Hearing Restoration in Noise-Deafened Young Adult Mice,neuroscience,ERBB2是听力恢复的关键调解人，聋哑成年小鼠
Privacy-preserving quality control of neuroimaging datasets in federated environments,neuroscience,在联合环境中，神经影像数据集的隐私质量控制
Long-term warming effects on the microbiome and nitrogen fixation of a common moss species in sub-Arctic tundra,microbiology,对亚北极苔原中常见苔藓物种的微生物组和氮固定的长期变暖影响
How to characterise shared space use networks,ecology,如何表征共享空间使用网络
The minimum land area requiring conservation attention to safeguard biodiversity,ecology,需要保护的最小土地面积，以保护生物多样性
"Astrocyte-like glia-specific gene deathstar is crucial for normal development, adult locomotion and lifespan of male Drosophila",genetics,星形胶质细胞样特异性基因死亡star对于雄性果蝇的正常发育，成人运动和寿命至关重要
Mesmerize: a dynamically adaptable user-friendly analysis platform for 2D & 3D calcium imaging data.,neuroscience,着迷：一个动态适应于2D和3D钙成像数据的用户友好分析平台。
Targeting cellular DNA damage responses in cancer: An in vitro-calibrated agent-based model simulating monolayer and spheroid treatment responses to ATR-inhibiting drugs,cancer biology,靶向癌症中细胞DNA损伤反应：基于体外校准的剂模型，模拟单层和球体治疗反应对ATR抑制药物
Characterising sensorimotor adaptation in Complex Regional Pain Syndrome,neuroscience,表征复杂区域疼痛综合征中的感觉运动适应
The genome of the zoonotic malaria parasite Plasmodium simium reveals adaptations to host-switching,genomics,人畜共患疟疾疟原虫类似物的基因组揭示了对宿主转换的适应
Circulating miR-181 is a prognostic biomarker for amyotrophic lateral sclerosis,neuroscience,循环miR-​​181是肌萎缩性侧硬化症的预后生物标志物
"Divergent sex-specific effects of an IgE receptor polymorphism: from immunity to health, and ultimately, fitness",ecology,IgE受体多态性的分歧性别特异性影响：从免疫到健康，最终适应性
Cellular Fitness Phenotypes of Cancer Target Genes from On-cobiology to Cancer Therapeutics,cancer biology,癌症靶基因从毕业生到癌症治疗剂的细胞适应性表型
A comprehensive survey of developmental programs reveals a dearth of tree-like lineage graphs and ubiquitous regeneration,developmental biology,对发展计划的全面调查揭示了像树状的谱系图和无处不在的再生
Advances in Spiral fMRI: A High-resolution Study with Single-shot Acquisition,neuroscience,螺旋fMRI的进步：一项高分辨率研究，单次获取
Evidence for shared ancestry between Actinobacteria and Firmicutes bacteriophages,genomics,肌细菌与企业噬菌体之间共同血统的证据
Inhibition of both mutant and wild-type RAS-GTP in KRAS G12C colorectal cancer through cotreatment with G12C and EGFR inhibitors,cancer biology,通过与G12C和EGFR抑制剂共治疗KRAS G12C大肠癌中突变体和野生型Ras-GTP的抑制
Automated identification of maximal differential cell populations in flow cytometry data,bioinformatics,在流式细胞仪数据中对最大差分细胞种群的自动鉴定
Beyond taxonomic identification: integration of ecological responses to a soil bacterial 16S rRNA gene database.,microbiology,除分类学识别外：对土壤细菌16S rRNA基因数据库的生态反应的整合。
Effective downregulation of BCR-ABL tumorigenicity by RNA targeted CRISPR-Cas13a,molecular biology,RNA靶向CRISPR-CAS13A对BCR-ABL肿瘤性的有效下调
Adaptive divergence in shoot gravitropism creates hybrid sterility in an Australian wildflower,evolutionary biology,射击引力中的自适应差异在澳大利亚野花中产生混合无菌性
Frequency selectivity of persistent cortical oscillatory responses to auditory rhythmic stimulation,neuroscience,持续性皮质振荡对听觉节奏刺激的频率选择性
Recombination and selection against introgressed DNA,evolutionary biology,重组和反对渗透的DNA的选择
Predictive Coding Models for Pain Perception,neuroscience,疼痛感知的预测编码模型
Differential robustness to specific potassium channel deletions in midbrain dopaminergic neurons,neuroscience,中脑多巴胺能神经元中特定钾通道缺失的差异鲁棒性
Strand asymmetry influences mismatch resolution during single-strand annealing,genomics,链不对称会影响单链退火期间的不对称分辨率
Rhomboid protease RHBDL4 promotes retrotranslocation of aggregation-prone proteins for degradation,cell biology,菱形蛋白酶rhbdl4促进聚集蛋白的逆转转换以降解
RAF conformational autoinhibition and 14-3-3 proteins promote paradoxical activation,cancer biology,RAF构象自身抑制和14-3-3蛋白会促进自相矛盾的激活
Integration of Odor-Induced Activity of Kenyon Cells in an Electrotonically Compact Drosophila Mushroom Body Output Neuron (MBON),neuroscience,电型果蝇蘑菇体输出神经元（Mbon）中气味诱导的肯尼因细胞活性的整合
Effects of dopamine receptor antagonism and amphetamine-induced psychomotor sensitization on sign- and goal-tracking after extended training,neuroscience,多巴胺受体拮抗和苯丙胺诱导的心理运动敏化对扩展训练后的标志和目标跟踪的影响
Barley RIC157 is involved in RACB-mediated susceptibility to powdery mildew,plant biology,大麦RIC157参与RACB介导的白粉病敏感性
Using single visits into integrated occupancy models to make the most of existing monitoring programs,ecology,利用对集成占用模型的访问来充分利用现有的监视程序
GraphProt2: A graph neural network-based method for predicting binding sites of RNA-binding proteins,bioinformatics,GraphProt2：一种基于图神经网络的方法，用于预测RNA结合蛋白的结合位点
Temperature-induced prophage dictates evolution of virulence in bacteria,evolutionary biology,温度引起的预言决定了细菌毒力的演变
Bacterial quorum sensing allows graded and bimodal cellular responses to variations in population density,microbiology,细菌群体传感允许对种群密度变化的分级和双峰细胞反应
Family History of Depression is Associated with Alterations in Task-Dependent Connectivity between the Cerebellum and Ventromedial Prefrontal Cortex,neuroscience,抑郁症家族史与小脑和腹侧前额叶皮层之间的任务依赖性连通性的改变有关
Predator complementarity dampens variability of phytoplankton biomass in a diversity-stability trophic cascade,ecology,捕食者互补性会抑制多样性稳定级联浮游植物生物量的变异性
Statistical power: implications for planning MEG studies,neuroscience,统计能力：对计划MEG研究的影响
Low membrane fluidity triggers lipid phase separation and protein segregation in vivo,microbiology,低膜流动性触发脂质相分离和体内蛋白质分离
